Latitude,Longitude
47.1983417,-0.9234624
47.27204,-2.42529
47.5548751,-1.0417453
48.342737,-0.858162
47.081,-2.03591
47.294411,0.027094
49138,47.4864291
47.71648,-0.53526
47.4696129,-1.7658835
47.429781,-1.4984913
47.28977,-2.03009
47.5175515,-0.8727686
47.6272147,-0.7148644
48.3507332,0.36989732
47.4584114,-0.3162208
47.508216,0.18998899
48.3875691,-0.5025952
47.23054,-2.17871
47.1957953,-0.8609738
47.27235,-2.42481
44055,47.28334
46.99196,-1.8192
47.11588,-2.1018
47.22619,-2.17206
48.3907497,-0.6160641
48.09382,-0.21099
47.4064324,-0.7613044
47.8387419,-0.3304421
48.07163,-0.11275
48.18342,-0.12749
47.26842,-2.16782
47.10307,-1.81139
47.1218,-0.78884
47.3313943,-1.6956213
47.47574,-1.76402
48.0341047,0.59607391
47.675403,-0.8834809
47.8460273,-1.002485
47.12935,-2.21818
48.09737,-0.7898
47.2100819,-0.7274078
47.28266,-2.39213
47.43693,-2.08954
47.24703,-2.16391
47.7581399,-0.4911621
47.06829,-1.91073
46.977329,-1.8393006
47.40654,-2.48433
47.51729,-2.03712
47.10437,-1.81142
47.04251,-1.95382
48.008643,0.19946829
47.4784854,-0.5647232
47.138143,-0.89296
47.5524811,-0.808281
47.5219867,-0.8843521
47.7401055,-1.1776716
47.0450372,-0.8869605
47.34634,-2.50849
47.1742426,-1.2048835
47.1742426,-1.2048835
47.85688,-0.20101
47.5415559,-0.104058
47.2839,-2.40965
48.0756,-0.77167
47.328,-2.42976
47.19056,-0.299442
48.17426,0.42288
47.383101,-0.656999
49007,47.47802
49377,47.56111
49007,47.46924
